"Product ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";"Position"
"202";"";"BOITE SACHET LE CHANT DU COQ THE VERT 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"203";"";"BOITE SACHET  LE CHANT DU COQ THE VERT 24 SACHETS";"";"";"7.49";"7.9";"1.0";"";"0"
"204";"";"BOITE SACHET  LE TEMPS PRESENT THE VERT 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"205";"";"BOITE SACHET LE TEMPS PRESENT THE VERT 24 SACHETS";"";"";"7.49";"7.9";"0.0";"";"0"
"206";"";"BOITE SACHET EN PASSANT LA LORRAINE THE NOIR 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"207";"";"BOITE SACHET EN PASSANT PAR LA LORRAINE THE NOIR 24 SACHETS";"";"";"7.49";"7.9";"5.0";"";"0"
"208";"";"BOITE SACHET  DOUCE NUIT INFUSION 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"209";"";"BOITE SACHET  DOUCE NUIT INFUSION 24 SACHETS";"";"";"7.49";"7.9";"2.0";"";"0"
"210";"";"BOITE SACHET  ENTRE AMIS INFUSION 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"211";"";"BOITE SACHET ENTRE AMIS INFUSION 24 SACHETS";"";"";"7.49";"7.9";"2.0";"";"0"
"212";"";"BOITE SACHET  TISANE DES SORTILEGES INFUSION 6X24 SACEHTS";"";"";"0";"0";"0.0";"";"0"
"213";"";"BOITE SACHET  TISANE DES SORTILEGES INFUSION 24 SACHETS";"";"";"7.49";"7.9";"4.0";"";"0"
"214";"";"BOITE SACHET  VACANCES EN BRETAGNES ROOIBOS 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"215";"";"BOITE SACHET  VACANCES EN BRETAGNE ROOIBOS 24 SACHETS";"";"";"7.49";"7.9";"0.0";"";"0"
"216";"";"BOITE SACHET SOUS LA COUETTE ROOIBOS 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"217";"";"BOITE SACHET  SOUS LA COUETTE ROOIBOS 24 SACHETS";"";"";"7.49";"7.9";"0.0";"";"0"
"218";"";"TABLETTE GOURMANDE CHOCOLAT LAIT FRAMBOISE 90G";"";"";"4.92";"5.9";"0.0";"";"0"
"219";"";"TABLETTE GOURMANDE CHOCOLAT NOIR MENTHE 90G";"";"";"5.59";"5.9";"7.0";"";"0"
"220";"";"TABLETTE GOURMANDE LAIT POP CORN CARAMELISE 90G";"";"";"4.92";"5.9";"3.0";"";"0"
"221";"";"TABLETTE GOURMANDE CHOCOLAT NOIR PISTACHE CARAMELISE";"";"";"4.92";"5.9";"3.0";"";"0"
"222";"";"TABLETTE GOURMANDE CHOCOLAT BLANC CARAMEL BEURRE SALE 90G";"";"";"4.92";"5.9";"0.0";"";"0"
"223";"";"TABLETTE GOURMANDE CHOCOLAT LAIT COOKIE 90G";"";"";"4.92";"5.9";"0.0";"";"0"
"224";"";"TABLETTE GOURMANDE CHOCOLAT LAIT CITRON MERINGUE 90G";"";"";"4.92";"5.9";"1.0";"";"0"
"225";"";"PALET GOURMAND CHOCOLAT BLANC ET FRUITS SECS 160G";"";"";"16.398104";"17.3";"2.0";"";"0"
"227";"";"PALET GOURMAND NOIR MENDIANT HIVER 160G";"";"";"16.4";"17.3";"0.0";"";"0"
"228";"";"PALET GOURMAND LAIT MENDIANT ETE 160G";"";"";"16.398104";"17.3";"3.0";"";"0"
"229";"";"BOITE BOIS AVEC COUVERCLE ASSORTIMENT CHOCOLAT 120G";"";"";"16.02";"16.9";"0.0";"";"0"
"230";"";"BOITE BOIS AVEC COUVERCLE ASSORTIMENT CHOCOLAT 200G";"";"";"28.34";"29.9";"1.0";"";"0"
"231";"";"PATE A TARTINER NOISETTE 280G";"";"";"10.14";"10.7";"2.0";"";"0"
"232";"";"PATE A TARTINER CREME CARAMEL 280G";"";"";"11.75";"12.4";"4.0";"";"0"
"233";"";"PALET GOURMAND NOIR FRUIT ROUGE 160G";"";"";"16.4";"17.3";"0.0";"";"0"
"234";"";"BERLINGOT A L'ANCIENNE TRADITIONNEL  1KG";"";"";"0";"0";"0.0";"";"0"
"235";"";"BERLINGOTS A L'ANCIENNE TRADITIONNEL 1KG";"";"";"0";"0";"0.0";"";"0"
"236";"";"BERLINGOTS A L'ANCIENNE FRUIT DU MIDI 1KG";"";"";"0";"0";"0.0";"";"0"
"237";"";"POT DE MINI CHIQUE 140G";"";"";"0";"0";"0.0";"";"0"
"238";"";"LANTERNE BOIS";"";"";"39.42";"47.3";"-2.0";"";"0"
"239";"";"LANTERNE BOIS ET METAL BRILLANT";"";"";"32.58";"39.1";"4.0";"";"0"
"240";"";"BOUGIE NOIRE CYLINDRIQUE";"";"";"5.83";"7";"6.0";"";"0"
